time,open,high,low,close,volume,volumeRaw,changePercent
1999-09-01,2752.33,2897.53,2684.7,2746.16,,,0.25
1999-10-01,2729.04,2978.63,2632.01,2966.43,,,8.02
1999-11-01,2970.93,3469.35,2967.63,3336.16,,,12.46
1999-12-01,3341.1,4090.61,3321.57,4069.31,,,21.98
2000-01-01,4186.19,4303.15,3711.09,3940.35,,,-3.17
2000-02-01,3961.07,4698.46,3911.84,4696.69,,,19.19
2000-03-01,4732.82,5132.52,4355.69,4572.83,,,-2.64
2000-04-01,4494.89,4572.84,3227.04,3860.66,,,-15.57
2000-05-01,3930.18,3982.38,3042.66,3400.91,,,-11.91
2000-06-01,3471.95,4073.73,3400.91,3966.11,,,16.62
2000-07-01,3950.59,4289.06,3615.79,3766.99,,,-5.02
2000-08-01,3760.95,4208.73,3521.14,4206.35,,,11.66
2000-09-01,4252.15,4259.87,3614.66,3672.82,,,-12.68
2000-10-01,3714.48,3714.48,3026.11,3369.63,,,-8.25
2000-11-01,3316.51,3480.01,2523.04,2597.93,,,-22.9
2000-12-01,2644.09,3028.75,2288.16,2470.52,,,-4.9
2001-01-01,2474.16,2892.36,2251.71,2772.73,,,12.23
2001-02-01,2771.57,2796.89,2127.5,2151.83,,,-22.39
2001-03-01,2126.3,2243.78,1794.21,1840.26,,,-14.48
2001-04-01,1835.22,2202.86,1619.58,2116.24,,,15
2001-05-01,2116.24,2328.05,2052.41,2110.49,,,-0.27
2001-06-01,2131.12,2264.58,1973.7,2161.24,,,2.4
2001-07-01,2156.76,2181.05,1934.67,2027.13,,,-6.21
2001-08-01,2051.56,2102.53,1777.11,1805.43,,,-10.94
2001-09-01,1802.29,1836.19,1387.06,1498.8,,,-16.98
2001-10-01,1491.45,1792.87,1458.41,1690.2,,,12.77
2001-11-01,1705.52,1965.09,1683.99,1930.58,,,14.22
2001-12-01,1915.13,2065.69,1898.98,1950.4,,,1.03
2002-01-01,1965.18,2098.88,1851.49,1934.03,,,-0.84
2002-02-01,1928.83,1942.15,1696.55,1731.49,,,-10.47
2002-03-01,1745.49,1946.23,1742.08,1845.35,,,6.58
2002-04-01,1834.59,1865.37,1640.97,1688.23,,,-8.51
2002-05-01,1683.76,1759.33,1560.29,1615.73,,,-4.29
2002-06-01,1613.5,1621.5,1375.53,1463.21,,,-9.44
2002-07-01,1457.04,1459.84,1192.42,1328.26,,,-9.22
2002-08-01,1322.47,1426.76,1205.68,1314.85,,,-1.01
2002-09-01,1302.67,1347.27,1160.07,1172.06,,,-10.86
2002-10-01,1180.26,1347.58,1108.49,1329.75,,,13.45
2002-11-01,1320.95,1497.44,1313.72,1478.78,,,11.21
2002-12-01,1507.94,1521.44,1327.19,1335.51,,,-9.69
2003-01-01,1346.93,1467.35,1303.64,1320.91,,,-1.09
2003-02-01,1324.74,1352.07,1261.79,1337.52,,,1.26
2003-03-01,1344.21,1425.73,1253.22,1341.17,,,0.27
2003-04-01,1347.54,1482.49,1338.23,1464.31,,,9.18
2003-05-01,1463,1599.92,1451.32,1595.91,,,8.99
2003-06-01,1612.1,1686.1,1584.7,1622.8,,,1.68
2003-07-01,1617.3,1776.1,1598.92,1735.02,,,6.92
2003-08-01,1731.63,1813.82,1640.88,1810.45,,,4.35
2003-09-01,1817.92,1913.74,1783.46,1786.94,,,-1.3
2003-10-01,1797.07,1966.87,1796.09,1932.21,,,8.13
2003-11-01,1941.31,1992.27,1878.07,1960.26,,,1.45
2003-12-01,1972.97,2015.23,1887.46,2003.37,,,2.2
2004-01-01,2011.08,2153.83,1999.77,2066.15,,,3.13
2004-02-01,2072.13,2094.92,1991.05,2029.82,,,-1.76
2004-03-01,2036.92,2069.02,1896.91,1994.22,,,-1.75
2004-04-01,1996.45,2079.12,1919.39,1920.15,,,-3.71
2004-05-01,1928.72,1991.87,1865.4,1986.74,,,3.47
2004-06-01,1978.52,2055.65,1960.26,2047.79,,,3.07
2004-07-01,2045.53,2045.53,1829.06,1887.36,,,-7.83
2004-08-01,1874.93,1893.13,1750.82,1838.1,,,-2.61
2004-09-01,1833.37,1925.85,1833.33,1896.84,,,3.2
2004-10-01,1909.59,1984.18,1899.33,1974.99,,,4.12
2004-11-01,1975.48,2117.89,1969.32,2096.81,,,6.17
2004-12-01,2104.58,2185.56,2097.86,2175.44,,,3.75
2005-01-01,2184.75,2191.6,2008.68,2062.41,,,-5.2
2005-02-01,2063.27,2103.45,2023,2051.72,,,-0.52
2005-03-01,2057.47,2100.57,1968.58,1999.23,,,-2.56
2005-04-01,2009.09,2021.82,1889.83,1921.65,,,-3.88
2005-05-01,1923.23,2076.8,1916.03,2068.22,,,7.63
2005-06-01,2067.23,2106.57,2039.69,2056.96,,,-0.54
2005-07-01,2060.97,2201.39,2050.3,2184.83,,,6.22
2005-08-01,2191.49,2219.91,2112.25,2152.09,,,-1.5
2005-09-01,2150.03,2186.83,2093.06,2151.69,,,-0.02
2005-10-01,2152.7,2167,2025.58,2120.3,,,-1.46
2005-11-01,2109.89,2269.3,2108.86,2232.82,,,5.31
2005-12-01,2244.85,2278.16,2200.51,2205.32,,,-1.23
2006-01-01,2216.53,2332.92,2189.91,2305.82,,,4.56
2006-02-01,2294.11,2313.53,2232.68,2281.39,,,-1.06
2006-03-01,2288.15,2353.14,2239.54,2339.79,,,2.56
2006-04-01,2352.24,2375.54,2299.42,2322.57,,,-0.74
2006-05-01,2329.79,2352.56,2135.81,2178.88,,,-6.19
2006-06-01,2179.82,2233.88,2065.11,2172.09,17540000000,17.54B,-0.31
2006-07-01,2177.91,2190.44,2012.78,2091.47,26890000000,26.89B,-3.71
2006-08-01,2080.34,2193.34,2048.22,2183.75,18680000000,18.68B,4.41
2006-09-01,2194.56,2273.3,2147.44,2258.43,18440000000,18.44B,3.42
2006-10-01,2257,2379.29,2224.21,2366.71,20920000000,20.92B,4.79
2006-11-01,2373.49,2468.42,2316.82,2431.77,17200000000,17.20B,2.75
2006-12-01,2430.75,2470.95,2392.95,2415.29,16059999999.999998,16.06B,-0.68
2007-01-01,2429.72,2508.93,2394.66,2463.93,18720000000,18.72B,2.01
2007-02-01,2474.08,2531.42,2395.35,2416.15,17100000000.000002,17.10B,-1.94
2007-03-01,2377.18,2459.96,2331.57,2421.64,20270000000,20.27B,0.23
2007-04-01,2425.36,2562.99,2409.04,2525.09,18180000000,18.18B,4.27
2007-05-01,2529.95,2607.9,2510.57,2604.52,20210000000,20.21B,3.15
