year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2011,48280,Edinson Cavani,Uruguay,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,64,24.5,24.5,2011-12
2012,48280,Edinson Cavani,Uruguay,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,23,35,35,2012-12
2013,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,SSC Napoli | Paris Saint-Germain,Jan-Jun: SSC Napoli | Jul-Dec: Paris Saint-Germain,12,12,4,60,60,2013-12
2014,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,4,60,57,2014-12
2015,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,1,10,50,42,2015-12
2016,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,31,42,40,2016-12
2017,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,25,45,45,2017-12
2018,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,37,60,55,2018-12
2019,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,77,55,25,2019-12
2020,48280,Edinson Cavani,Uruguay,Attack,Paris Saint-Germain,Paris Saint-Germain | Manchester United,Jan-Sep: Paris Saint-Germain | Oct-Dec: Manchester United,12,0,328,25,12,2020-12
2021,48280,Edinson Cavani,Uruguay,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,737,12,4,2021-12
2022,48280,Edinson Cavani,Uruguay,Attack,Manchester United,Manchester United | Valencia CF,Jan-Oct: Manchester United | Nov-Dec: Valencia CF,12,0,1586,5,5,2022-12
2023,48280,Edinson Cavani,Uruguay,Attack,Valencia CF,Valencia CF | CA Boca Juniors,Jan-Sep: Valencia CF | Oct-Dec: CA Boca Juniors,12,0,1586,5,2.5,2023-12
2024,48280,Edinson Cavani,Uruguay,Attack,CA Boca Juniors,CA Boca Juniors,Jan-Dec: CA Boca Juniors,12,0,2872,2.5,2.5,2024-12
2025,48280,Edinson Cavani,Uruguay,Attack,CA Boca Juniors,CA Boca Juniors,Jan-Mar: CA Boca Juniors,3,0,2794,2.5,2.5,2025-03
2026,48280,Edinson Cavani,Uruguay,Attack,Club Atlético Boca Juniors,Club Atlético Boca Juniors,Jun: Club Atlético Boca Juniors,1,0,2856,2.5,2.5,2026-06
2009,68290,Neymar,Brazil,Midfield,Santos FC,Santos FC,Feb-Dec: Santos FC,11,0,583,6,6,2009-12
2010,68290,Neymar,Brazil,Midfield,Santos FC,Santos FC,Jan-Dec: Santos FC,12,0,108,18,18,2010-12
2011,68290,Neymar,Brazil,Midfield,Santos FC,Santos FC,Jan-Dec: Santos FC,12,0,35,30,30,2011-12
2012,68290,Neymar,Brazil,Midfield,Santos FC,Santos FC,Jan-Dec: Santos FC,12,0,20,40,40,2012-12
2013,68290,Neymar,Brazil,Midfield,FC Barcelona,Santos FC | FC Barcelona,Jan-Jun: Santos FC | Jul-Dec: FC Barcelona,12,11,7,50,50,2013-12
2014,68290,Neymar,Brazil,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,4,70,70,2014-12
2015,68290,Neymar,Brazil,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,100,100,2015-12
2016,68290,Neymar,Brazil,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,100,100,2016-12
2017,68290,Neymar,Brazil,Midfield,FC Barcelona,FC Barcelona | Paris Saint-Germain,Jan-Sep: FC Barcelona | Oct-Dec: Paris Saint-Germain,12,12,1,150,150,2017-12
2018,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,2,180,180,2018-12
2019,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,2,180,160,2019-12
2020,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,2,160,128,2020-12
2021,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,2,128,90,2021-12
2022,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,4,8,90,75,2022-12
2023,68290,Neymar,Brazil,Midfield,Paris Saint-Germain,Paris Saint-Germain | Al-Hilal SFC,Jan-Sep: Paris Saint-Germain | Oct-Dec: Al-Hilal SFC,12,0,30,75,50,2023-12
2024,68290,Neymar,Brazil,Midfield,Al-Hilal SFC,Al-Hilal SFC,Jan-Dec: Al-Hilal SFC,12,0,109,50,50,2024-12
2025,68290,Neymar,Brazil,Midfield,Al-Hilal SFC,Al-Hilal SFC,Jan-Mar: Al-Hilal SFC,3,0,113,50,50,2025-03
2026,68290,Neymar,Brazil,Midfield,Santos Futebol Clube,Santos Futebol Clube,Jun: Santos Futebol Clube,1,0,113,50,50,2026-06
2009,74842,Mario Götze,Germany,Midfield,Borussia Dortmund U19,Borussia Dortmund U19,Jul-Dec: Borussia Dortmund U19,6,0,3343,0.75,0.75,2009-12
2010,74842,Mario Götze,Germany,Midfield,Borussia Dortmund U19,Borussia Dortmund U19 | Borussia Dortmund,Jan-Jul: Borussia Dortmund U19 | Aug-Dec: Borussia Dortmund,12,0,467,7.5,7.5,2010-12
2011,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,37,30,30,2011-12
2012,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,39,30,30,2012-12
2013,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,1,10,45,45,2013-12
2014,74842,Mario Götze,Germany,Midfield,Bayern Munich,Borussia Dortmund | Bayern Munich,Jan: Borussia Dortmund | Feb-Dec: Bayern Munich,12,5,8,55,48,2014-12
2015,74842,Mario Götze,Germany,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,16,50,45,2015-12
2016,74842,Mario Götze,Germany,Midfield,Bayern Munich,Bayern Munich | Borussia Dortmund,Jan-Jun: Bayern Munich | Jul-Dec: Borussia Dortmund,12,0,29,45,28,2016-12
2017,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,104,28,20,2017-12
2018,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,256,20,18,2018-12
2019,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,333,25,18,2019-12
2020,74842,Mario Götze,Germany,Midfield,Borussia Dortmund,Borussia Dortmund | PSV Eindhoven,Jan-Sep: Borussia Dortmund | Oct-Dec: PSV Eindhoven,12,0,557,18,10.5,2020-12
2021,74842,Mario Götze,Germany,Midfield,PSV Eindhoven,PSV Eindhoven,Jan-Dec: PSV Eindhoven,12,0,763,12,12,2021-12
2022,74842,Mario Götze,Germany,Midfield,PSV Eindhoven,PSV Eindhoven | Eintracht Frankfurt,Jan-Oct: PSV Eindhoven | Nov-Dec: Eintracht Frankfurt,12,0,748,13,13,2022-12
2023,74842,Mario Götze,Germany,Midfield,Eintracht Frankfurt,Eintracht Frankfurt,Jan-Dec: Eintracht Frankfurt,12,0,751,13,7,2023-12
2024,74842,Mario Götze,Germany,Midfield,Eintracht Frankfurt,Eintracht Frankfurt,Jan-Dec: Eintracht Frankfurt,12,0,1405,7,5,2024-12
2025,74842,Mario Götze,Germany,Midfield,Eintracht Frankfurt,Eintracht Frankfurt,Jan-Dec: Eintracht Frankfurt,12,0,1648,5,3.5,2025-12
2026,74842,Mario Götze,Germany,Midfield,Eintracht Frankfurt,Eintracht Frankfurt | Eintracht Frankfurt Fußball AG,Jan-May: Eintracht Frankfurt | Jun: Eintracht Frankfurt Fußball AG,6,0,1639,3.5,3.5,2026-06
2006,39381,Gareth Bale,Wales,Attack,Southampton FC,Southampton FC,Aug-Dec: Southampton FC,5,0,1485,0.4,0.4,2006-12
2007,39381,Gareth Bale,Wales,Attack,Southampton FC,Southampton FC | Tottenham Hotspur,Jan-Jul: Southampton FC | Aug-Dec: Tottenham Hotspur,12,0,83,14.75,14.75,2007-12
2008,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,87,14.75,9.5,2008-12
2009,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,239,9.5,8.5,2009-12
2010,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,77,20,20,2010-12
2011,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,49,25,25,2011-12
2012,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,11,40,40,2012-12
2013,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur | Real Madrid,Jan-Aug: Tottenham Hotspur | Sep-Dec: Real Madrid,12,6,3,80,80,2013-12
2014,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,3,80,80,2014-12
2015,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,3,80,80,2015-12
2016,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,4,90,90,2016-12
2017,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,4,90,80,2017-12
2018,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,13,90,80,2018-12
2019,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,20,80,40,2019-12
2020,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid | Tottenham Hotspur,Jan-Sep: Real Madrid | Oct-Dec: Tottenham Hotspur,12,0,162,40,20,2020-12
2021,39381,Gareth Bale,Wales,Attack,Tottenham Hotspur,Tottenham Hotspur | Real Madrid,Jan-Sep: Tottenham Hotspur | Oct-Dec: Real Madrid,12,0,399,20,5,2021-12
2022,39381,Gareth Bale,Wales,Attack,Real Madrid,Real Madrid | Los Angeles FC,Jan-Jul: Real Madrid | Aug-Dec: Los Angeles FC,12,0,1548,5,2,2022-12
2023,39381,Gareth Bale,Wales,Attack,Los Angeles FC,Los Angeles FC,Jan-Nov: Los Angeles FC,11,0,3241,2,2,2023-11
2006,35664,Mesut Özil,Germany,Midfield,FC Schalke 04,FC Schalke 04 U19 | FC Schalke 04,Feb-Jun: FC Schalke 04 U19 | Jul-Dec: FC Schalke 04,11,0,1514,0.4,0.4,2006-12
2007,35664,Mesut Özil,Germany,Midfield,FC Schalke 04,FC Schalke 04,Jan-Dec: FC Schalke 04,12,0,899,2.2,2.2,2007-12
2008,35664,Mesut Özil,Germany,Midfield,SV Werder Bremen,FC Schalke 04 | SV Werder Bremen,Jan-Feb: FC Schalke 04 | Mar-Dec: SV Werder Bremen,12,0,482,6,6,2008-12
2009,35664,Mesut Özil,Germany,Midfield,SV Werder Bremen,SV Werder Bremen,Jan-Dec: SV Werder Bremen,12,0,113,16,16,2009-12
2010,35664,Mesut Özil,Germany,Midfield,SV Werder Bremen,SV Werder Bremen,Jan-Dec: SV Werder Bremen,12,0,41,27,27,2010-12
2011,35664,Mesut Özil,Germany,Midfield,Real Madrid,SV Werder Bremen | Real Madrid,Jan: SV Werder Bremen | Feb-Dec: Real Madrid,12,0,28,32,32,2011-12
2012,35664,Mesut Özil,Germany,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,19,40,40,2012-12
2013,35664,Mesut Özil,Germany,Midfield,Real Madrid,Real Madrid | Arsenal FC,Jan-Aug: Real Madrid | Sep-Dec: Arsenal FC,12,4,7,50,50,2013-12
2014,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,1,10,50,45,2014-12
2015,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,22,45,40,2015-12
2016,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,20,50,50,2016-12
2017,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,21,50,50,2017-12
2018,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,51,50,35,2018-12
2019,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,183,35,22,2019-12
2020,35664,Mesut Özil,Germany,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,402,22,5,2020-12
2021,35664,Mesut Özil,Germany,Midfield,Fenerbahce,Arsenal FC | Fenerbahce,Jan-Feb: Arsenal FC | Mar-Dec: Fenerbahce,12,0,1663,5,3.8,2021-12
2022,35664,Mesut Özil,Germany,Midfield,Fenerbahce,Fenerbahce | Basaksehir FK,Jan-Sep: Fenerbahce | Oct-Dec: Basaksehir FK,12,0,2030,3.7,1,2022-12
2023,35664,Mesut Özil,Germany,Midfield,Basaksehir FK,Basaksehir FK,Jan-Dec: Basaksehir FK,12,0,5004,1,0.7,2023-12
2024,35664,Mesut Özil,Germany,Midfield,Basaksehir FK,Basaksehir FK,Jan-Aug: Basaksehir FK,8,0,6333,0.7,0.7,2024-08
2006,44352,Luis Suárez,Uruguay,Attack,FC Groningen,FC Groningen,Sep-Dec: FC Groningen,4,0,1678,0.25,0.25,2006-12
2007,44352,Luis Suárez,Uruguay,Attack,FC Groningen,FC Groningen | Ajax Amsterdam,Jan-Jul: FC Groningen | Aug-Dec: Ajax Amsterdam,12,0,256,7.5,7.5,2007-12
2008,44352,Luis Suárez,Uruguay,Attack,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,205,10,10,2008-12
2009,44352,Luis Suárez,Uruguay,Attack,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,74,20,20,2009-12
2010,44352,Luis Suárez,Uruguay,Attack,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,51,25,25,2010-12
2011,44352,Luis Suárez,Uruguay,Attack,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,52,25,25,2011-12
2012,44352,Luis Suárez,Uruguay,Attack,Liverpool FC,Ajax Amsterdam | Liverpool FC,Jan: Ajax Amsterdam | Feb-Dec: Liverpool FC,12,0,50,29,29,2012-12
2013,44352,Luis Suárez,Uruguay,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,18,42,42,2013-12
2014,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,Liverpool FC | FC Barcelona,Jan-Jun: Liverpool FC | Jul-Dec: FC Barcelona,12,12,6,60,60,2014-12
2015,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,4,90,90,2015-12
2016,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,4,90,90,2016-12
2017,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,4,90,90,2017-12
2018,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,11,85,60,2018-12
2019,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,70,60,40,2019-12
2020,44352,Luis Suárez,Uruguay,Attack,FC Barcelona,FC Barcelona | Atlético de Madrid,Jan-Sep: FC Barcelona | Oct-Dec: Atlético de Madrid,12,0,173,40,18,2020-12
2021,44352,Luis Suárez,Uruguay,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,604,15,10,2021-12
2022,44352,Luis Suárez,Uruguay,Attack,Atlético de Madrid,Atlético de Madrid | Club Nacional,Jan-Oct: Atlético de Madrid | Nov-Dec: Club Nacional,12,0,906,10,4,2022-12
2023,44352,Luis Suárez,Uruguay,Attack,Grêmio Foot-Ball Porto Alegrense,Club Nacional | Grêmio Foot-Ball Porto Alegrense,Jan-Mar: Club Nacional | Apr-Dec: Grêmio Foot-Ball Porto Alegrense,12,0,1996,4,4,2023-12
2024,44352,Luis Suárez,Uruguay,Attack,Grêmio Foot-Ball Porto Alegrense,Grêmio Foot-Ball Porto Alegrense,Jan-Dec: Grêmio Foot-Ball Porto Alegrense,12,0,2132,4,4,2024-12
2026,44352,Luis Suárez,Uruguay,Attack,Club Internacional de Fútbol Miami,Club Internacional de Fútbol Miami,Jun: Club Internacional de Fútbol Miami,1,0,2180,4,4,2026-06
2009,88103,James Rodríguez,Colombia,Midfield,CA Banfield,CA Banfield,Mar-Dec: CA Banfield,10,0,2683,1,1,2009-12
2010,88103,James Rodríguez,Colombia,Midfield,CA Banfield,CA Banfield | FC Porto,Jan-Jun: CA Banfield | Jul-Dec: FC Porto,12,0,841,4.5,4.5,2010-12
2011,88103,James Rodríguez,Colombia,Midfield,FC Porto,FC Porto,Jan-Dec: FC Porto,12,0,321,9.7,9.7,2011-12
2012,88103,James Rodríguez,Colombia,Midfield,FC Porto,FC Porto,Jan-Dec: FC Porto,12,0,124,18,18,2012-12
2013,88103,James Rodríguez,Colombia,Midfield,AS Monaco,FC Porto | AS Monaco,Jan-Jun: FC Porto | Jul-Dec: AS Monaco,12,0,39,32,32,2013-12
2014,88103,James Rodríguez,Colombia,Midfield,AS Monaco,AS Monaco | Real Madrid,Jan-Jun: AS Monaco | Jul-Dec: Real Madrid,12,6,5,60,60,2014-12
2015,88103,James Rodríguez,Colombia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,4,80,80,2015-12
2016,88103,James Rodríguez,Colombia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,9,6,80,70,2016-12
2017,88103,James Rodríguez,Colombia,Midfield,Real Madrid,Real Madrid | Bayern Munich,Jan-Nov: Real Madrid | Dec: Bayern Munich,12,0,20,50,50,2017-12
2018,88103,James Rodríguez,Colombia,Midfield,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,23,80,65,2018-12
2019,88103,James Rodríguez,Colombia,Midfield,Bayern Munich,Bayern Munich | Real Madrid,Jan-Nov: Bayern Munich | Dec: Real Madrid,12,0,54,65,40,2019-12
2020,88103,James Rodríguez,Colombia,Midfield,Real Madrid,Real Madrid | Everton FC,Jan-Sep: Real Madrid | Oct-Dec: Everton FC,12,0,166,40,35,2020-12
2021,88103,James Rodríguez,Colombia,Midfield,Everton FC,Everton FC | Al-Rayyan SC,Jan-Sep: Everton FC | Oct-Dec: Al-Rayyan SC,12,0,176,35,20,2021-12
2022,88103,James Rodríguez,Colombia,Midfield,Al-Rayyan SC,Al-Rayyan SC | Olympiacos Piraeus,Jan-Oct: Al-Rayyan SC | Nov-Dec: Olympiacos Piraeus,12,0,605,15,9,2022-12
2023,88103,James Rodríguez,Colombia,Midfield,Without Club,Olympiacos Piraeus | Without Club,Jan-Apr: Olympiacos Piraeus | May-Dec: Without Club,12,0,1021,9,6,2023-12
2024,88103,James Rodríguez,Colombia,Midfield,Without Club,Without Club,Jan-Oct: Without Club,10,0,1556,6,6,2024-10
2026,88103,James Rodríguez,Colombia,Midfield,Minnesota United FC,Minnesota United FC,Jun: Minnesota United FC,1,0,1584,6,6,2026-06
2007,45320,Ángel Di María,Argentina,Attack,SL Benfica,SL Benfica,Jul-Dec: SL Benfica,6,0,500,4,4,2007-12
2008,45320,Ángel Di María,Argentina,Attack,SL Benfica,SL Benfica,Jan-Dec: SL Benfica,12,0,345,7,7,2008-12
2009,45320,Ángel Di María,Argentina,Attack,SL Benfica,SL Benfica,Jan-Dec: SL Benfica,12,0,349,7.8,7.8,2009-12
2010,45320,Ángel Di María,Argentina,Attack,Real Madrid,SL Benfica | Real Madrid,Jan-Jun: SL Benfica | Jul-Dec: Real Madrid,12,0,47,25,25,2010-12
2011,45320,Ángel Di María,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,46,25,25,2011-12
2012,45320,Ángel Di María,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,13,40,40,2012-12
2013,45320,Ángel Di María,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,18,40,34,2013-12
2014,45320,Ángel Di María,Argentina,Attack,Real Madrid,Real Madrid | Manchester United,Jan-Sep: Real Madrid | Oct-Dec: Manchester United,12,6,5,65,65,2014-12
2015,45320,Ángel Di María,Argentina,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,6,5,65,50,2015-12
2016,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Manchester United | Paris Saint-Germain,Jan: Manchester United | Feb-Dec: Paris Saint-Germain,12,2,10,60,55,2016-12
2017,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,19,50,40,2017-12
2018,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,69,45,45,2018-12
2019,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,105,45,40,2019-12
2020,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,153,40,32,2020-12
2021,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,241,28,15,2021-12
2022,45320,Ángel Di María,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain | Juventus FC,Jan-Oct: Paris Saint-Germain | Nov-Dec: Juventus FC,12,0,577,15,10,2022-12
2023,45320,Ángel Di María,Argentina,Attack,Juventus FC,Juventus FC | SL Benfica,Jan-Nov: Juventus FC | Dec: SL Benfica,12,0,886,10,5,2023-12
2024,45320,Ángel Di María,Argentina,Attack,SL Benfica,SL Benfica,Jan-Dec: SL Benfica,12,0,1689,5,3,2024-12
2025,45320,Ángel Di María,Argentina,Attack,SL Benfica,SL Benfica | CA Rosario Central,Jan-Nov: SL Benfica | Dec: CA Rosario Central,12,0,2106,3,2,2025-12
2026,45320,Ángel Di María,Argentina,Attack,CA Rosario Central,CA Rosario Central | Club Atlético Rosario Central,Jan-May: CA Rosario Central | Jun: Club Atlético Rosario Central,6,0,2097,2,2,2026-06
2005,27992,Luka Modrić,Croatia,Midfield,GNK Dinamo Zagreb,GNK Dinamo Zagreb,Sep-Dec: GNK Dinamo Zagreb,4,0,517,2.5,2.5,2005-12
2006,27992,Luka Modrić,Croatia,Midfield,GNK Dinamo Zagreb,GNK Dinamo Zagreb,Jan-Dec: GNK Dinamo Zagreb,12,0,300,4.7,4.7,2006-12
2007,27992,Luka Modrić,Croatia,Midfield,GNK Dinamo Zagreb,GNK Dinamo Zagreb,Jan-Dec: GNK Dinamo Zagreb,12,0,150,10.5,10.5,2007-12
2008,27992,Luka Modrić,Croatia,Midfield,GNK Dinamo Zagreb,GNK Dinamo Zagreb,Jan-Dec: GNK Dinamo Zagreb,12,0,65,18,18,2008-12
2009,27992,Luka Modrić,Croatia,Midfield,Tottenham Hotspur,GNK Dinamo Zagreb | Tottenham Hotspur,Jan: GNK Dinamo Zagreb | Feb-Dec: Tottenham Hotspur,12,0,81,18.5,18.5,2009-12
2010,27992,Luka Modrić,Croatia,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,66,22,22,2010-12
2011,27992,Luka Modrić,Croatia,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,26,33,33,2011-12
2012,27992,Luka Modrić,Croatia,Midfield,Tottenham Hotspur,Tottenham Hotspur | Real Madrid,Jan-Jul: Tottenham Hotspur | Aug-Dec: Real Madrid,12,0,11,40,40,2012-12
2013,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,30,35,35,2013-12
2014,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,6,8,55,55,2014-12
2015,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,6,8,55,50,2015-12
2016,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,19,50,50,2016-12
2017,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,28,45,40,2017-12
2018,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,86,40,25,2018-12
2019,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,294,25,15,2019-12
2020,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,687,15,10,2020-12
2021,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,904,10,10,2021-12
2022,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,909,10,10,2022-12
2023,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,946,10,10,2023-12
2024,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,1020,10,5,2024-12
2025,27992,Luka Modrić,Croatia,Midfield,Real Madrid,Real Madrid | AC Milan,Jan-Nov: Real Madrid | Dec: AC Milan,12,0,1519,5,4,2025-12
2026,27992,Luka Modrić,Croatia,Midfield,AC Milan,AC Milan | Associazione Calcio Milan,Jan-May: AC Milan | Jun: Associazione Calcio Milan,6,0,1510,4,4,2026-06
2008,50202,Eden Hazard,Belgium,Attack,LOSC Lille U19,LOSC Lille U19 | LOSC Lille,May-Nov: LOSC Lille U19 | Dec: LOSC Lille,8,0,1551,1.8,1.8,2008-12
2009,50202,Eden Hazard,Belgium,Attack,LOSC Lille,LOSC Lille,Jan-Dec: LOSC Lille,12,0,416,7.5,7.5,2009-12
2010,50202,Eden Hazard,Belgium,Attack,LOSC Lille,LOSC Lille,Jan-Dec: LOSC Lille,12,0,127,16,16,2010-12
