player_id,name,player_code,country,date_of_birth,position,sub_position,current_club,current_competition_id,first_top10_month,last_top10_month,top10_months,peak_rank,peak_value_eur,peak_value_million_eur,peak_value_month,latest_tracked_month,latest_value_eur,latest_value_million_eur,latest_global_rank,color,image_url,player_url,transfer_history_status,photo_mosaic_status
3467,Shaun Wright-Phillips,shaun-wright-phillips,England,1981-10-25,Attack,Right Winger,Queens Park Rangers,GB1,2005-09,2005-09,1,6,31500000,31.5,2005-09,2016-11,300000,0.3,9290,#45C1E3,https://img.a.transfermarkt.technology/portrait/header/3467-1464131724.jpg?lm=1,https://www.transfermarkt.co.uk/shaun-wright-phillips/profil/spieler/3467,pending,image_url_available
3160,John Terry,john-terry,England,1980-12-07,Defender,Centre-Back,Chelsea Football Club,GB1,2006-01,2007-04,16,8,33000000,33,2007-04,2018-11,1000000,1,4383,#4545E3,https://img.a.transfermarkt.technology/portrait/header/3160-1462887884.jpg?lm=1,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160,pending,image_url_available
7607,Xavi,xavi,Spain,1980-01-25,Midfield,Central Midfield,Futbol Club Barcelona,ES1,2006-04,2012-01,40,3,65000000,65,2010-01,2016-11,4000000,4,1435,#52A7FF,https://img.a.transfermarkt.technology/portrait/header/7607-1476882942.jpg?lm=1,https://www.transfermarkt.co.uk/xavi/profil/spieler/7607,pending,image_url_available
10,Miroslav Klose,miroslav-klose,Germany,1978-06-09,Attack,Centre-Forward,Società Sportiva Lazio S.p.A.,IT1,2006-07,2007-03,9,9,30000000,30,2006-07,2017-06,1000000,1,4147,#FF74B8,https://img.a.transfermarkt.technology/portrait/header/10-1448468291.jpg?lm=1,https://www.transfermarkt.co.uk/miroslav-klose/profil/spieler/10,pending,image_url_available
8198,Cristiano Ronaldo,cristiano-ronaldo,Portugal,1985-02-05,Attack,Centre-Forward,Al-Nassr Football Club,SA1,2007-04,2018-06,129,1,120000000,120,2014-10,2026-06,15000000,15,727,#E34584,https://img.a.transfermarkt.technology/portrait/header/8198-1748102259.jpg?lm=1,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,pending,image_url_available
3455,Zlatan Ibrahimović,zlatan-ibrahimović,Sweden,1981-10-03,Attack,Centre-Forward,Associazione Calcio Milan,IT1,2007-05,2010-08,28,5,46000000,46,2009-12,2024-11,2000000,2,3821,#458FE3,https://img.a.transfermarkt.technology/portrait/header/3455-1579506060.jpg?lm=1,https://www.transfermarkt.co.uk/zlatan-ibrahimovi%C4%87/profil/spieler/3455,pending,image_url_available
7980,David Villa,david-villa,Spain,1981-12-03,Attack,Centre-Forward,Club Atlético de Madrid S.A.D.,ES1,2007-06,2012-01,35,6,50000000,50,2010-08,2015-11,7000000,7,672,#8745E3,https://img.a.transfermarkt.technology/portrait/header/7980-1684165569.jpg?lm=1,https://www.transfermarkt.co.uk/david-villa/profil/spieler/7980,pending,image_url_available
28003,Lionel Messi,lionel-messi,Argentina,1987-06-24,Attack,Right Winger,Club Internacional de Fútbol Miami,MLS1,2007-07,2020-10,160,1,180000000,180,2018-01,2026-06,35000000,35,229,#4D7CFF,https://img.a.transfermarkt.technology/portrait/header/28003-1771694720.jpg?lm=1,https://www.transfermarkt.co.uk/lionel-messi/profil/spieler/28003,pending,image_url_available
5817,Andrea Pirlo,andrea-pirlo,Italy,1979-05-19,Midfield,Defensive Midfield,Juventus Football Club,IT1,2008-02,2008-06,5,10,36000000,36,2008-02,2016-11,1000000,1,3746,#FF5D5D,https://img.a.transfermarkt.technology/portrait/header/5817-1454934952.jpg?lm=1,https://www.transfermarkt.co.uk/andrea-pirlo/profil/spieler/5817,pending,image_url_available
8806,Cesc Fàbregas,cesc-fabregas,Spain,1987-05-04,Midfield,Central Midfield,Association sportive de Monaco Football Club,FR1,2008-07,2014-06,62,4,55000000,55,2010-08,2023-11,1000000,1,4926,#FF9D66,https://img.a.transfermarkt.technology/portrait/header/8806-1614090062.jpg?lm=1,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806,pending,image_url_available
