country,crossover_count,first_observed_leader,first_observed_month,latest_leader,latest_month,latest_android_share,latest_ios_share,latest_ios_minus_android_pp,leader_timeline,source
Guinea,11,iOS,2009-01,Android,2026-05,83.74,16.23,-67.51,2009-01:iOS | 2010-06:Android | 2010-07:iOS | 2011-01:Android | 2011-03:iOS | 2011-05:Android | 2011-07:iOS | 2011-08:Android | 2011-10:iOS | 2011-12:Android | 2012-05:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Guinea-Bissau,11,iOS,2009-12,Android,2026-05,90.62,9.31,-81.31,2009-12:iOS | 2011-04:Android | 2011-05:iOS | 2011-07:Android | 2011-08:iOS | 2011-11:Android | 2011-12:iOS | 2012-02:Android | 2012-07:iOS | 2012-09:Android | 2013-09:iOS | 2013-10:Android,StatCounter GlobalStats mobile OS web usage share
Palau,11,iOS,2009-04,Android,2026-05,56.54,43.46,-13.08,2009-04:iOS | 2010-09:Android | 2010-10:iOS | 2010-12:Android | 2011-02:iOS | 2012-11:Android | 2012-12:iOS | 2013-02:Android | 2013-03:iOS | 2013-06:Android | 2024-09:iOS | 2024-10:Android,StatCounter GlobalStats mobile OS web usage share
Sao Tome and Principe,11,iOS,2009-04,Android,2026-05,90.28,9.72,-80.56,2009-04:iOS | 2010-12:Android | 2011-01:iOS | 2011-04:Android | 2011-05:iOS | 2011-06:Android | 2011-07:iOS | 2012-06:Android | 2012-07:iOS | 2012-08:Android | 2012-09:iOS | 2012-11:Android,StatCounter GlobalStats mobile OS web usage share
Somalia,11,iOS,2009-01,Android,2026-05,90.53,9.47,-81.06,2009-01:iOS | 2010-12:Android | 2011-01:iOS | 2011-02:Android | 2011-03:iOS | 2011-04:Android | 2011-05:iOS | 2011-06:Android | 2011-08:iOS | 2011-09:Android | 2011-11:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
New Zealand,10,iOS,2009-01,iOS,2026-05,46.42,53.57,7.15,2009-01:iOS | 2014-02:Android | 2014-03:iOS | 2014-04:Android | 2016-02:iOS | 2016-03:Android | 2018-10:iOS | 2019-01:Android | 2019-02:iOS | 2019-03:Android | 2026-03:iOS,StatCounter GlobalStats mobile OS web usage share
Norway,10,iOS,2009-01,iOS,2026-05,45.73,54.25,8.52,2009-01:iOS | 2014-11:Android | 2014-12:iOS | 2015-07:Android | 2015-08:iOS | 2017-07:Android | 2017-08:iOS | 2018-08:Android | 2018-10:iOS | 2018-12:Android | 2019-09:iOS,StatCounter GlobalStats mobile OS web usage share
Puerto Rico,10,iOS,2009-01,iOS,2026-05,46.18,53.81,7.63,2009-01:iOS | 2011-06:Android | 2022-01:iOS | 2023-06:Android | 2024-06:iOS | 2024-07:Android | 2024-10:iOS | 2025-05:Android | 2025-07:iOS | 2025-08:Android | 2025-11:iOS,StatCounter GlobalStats mobile OS web usage share
Cambodia,9,iOS,2009-01,Android,2026-05,49.88,49.82,-0.06,2009-01:iOS | 2012-10:Android | 2013-02:iOS | 2013-03:Android | 2021-07:iOS | 2021-08:Android | 2025-12:iOS | 2026-02:Android | 2026-04:iOS | 2026-05:Android,StatCounter GlobalStats mobile OS web usage share
Cuba,9,iOS,2009-01,Android,2026-05,95.58,4.4,-91.18,2009-01:iOS | 2012-09:Android | 2012-12:iOS | 2013-03:Android | 2013-04:iOS | 2013-05:Android | 2013-06:iOS | 2013-09:Android | 2013-12:iOS | 2014-01:Android,StatCounter GlobalStats mobile OS web usage share
