year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,color,source,indicator,source_url
1979,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,22220560000,22220.56,0.022221,11,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Spain,ESP,ES,Europe & Central Asia,High income,17389180000,17389.18,0.017389,12,#22C55E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Belgium,BEL,BE,Europe & Central Asia,High income,13734380000,13734.38,0.013734,13,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Singapore,SGP,SG,East Asia & Pacific,High income,13609730000,13609.73,0.013610,14,#14B8A6,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Italy,ITA,IT,Europe & Central Asia,High income,12859570000,12859.57,0.012860,15,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Sweden,SWE,SE,Europe & Central Asia,High income,10676110000,10676.11,0.010676,16,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,"Korea, Rep.",KOR,KR,East Asia & Pacific,High income,5391320000,5391.32,0.005391,17,#94A3B8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Denmark,DNK,DK,Europe & Central Asia,High income,5189730000,5189.73,0.005190,18,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,4319860000,4319.86,0.004320,19,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Luxembourg,LUX,LU,Europe & Central Asia,High income,2540000000,2540.00,0.002540,20,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Israel,ISR,IL,"Middle East, North Africa, Afghanistan & Pakistan",High income,2539520000,2539.52,0.002540,21,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Austria,AUT,AT,Europe & Central Asia,High income,2080280000,2080.28,0.002080,22,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1979,Mexico,MEX,MX,Latin America & Caribbean,Upper middle income,1197000000,1197.00,0.001197,23,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,United States,USA,US,North America,High income,1359797800000,1359797.80,1.359798,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Japan,JPN,JP,East Asia & Pacific,High income,379212790000,379212.79,0.379213,2,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Canada,CAN,CA,North America,High income,285706860000,285706.86,0.285707,3,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Germany,DEU,DE,Europe & Central Asia,High income,71715670000,71715.67,0.071716,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
