year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,source,indicator,source_url
1975,"Egypt, Arab Rep.",EGY,EG,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,El Salvador,SLV,SV,Latin America & Caribbean,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Equatorial Guinea,GNQ,GQ,Sub-Saharan Africa,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Eritrea,ERI,ER,Sub-Saharan Africa,Low income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Estonia,EST,EE,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Eswatini,SWZ,SZ,Sub-Saharan Africa,Lower middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Ethiopia,ETH,ET,Sub-Saharan Africa,Not classified,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Faroe Islands,FRO,FO,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Fiji,FJI,FJ,East Asia & Pacific,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Finland,FIN,FI,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,French Polynesia,PYF,PF,East Asia & Pacific,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Gabon,GAB,GA,Sub-Saharan Africa,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,"Gambia, The",GMB,GM,Sub-Saharan Africa,Low income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Georgia,GEO,GE,Europe & Central Asia,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Ghana,GHA,GH,Sub-Saharan Africa,Lower middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Gibraltar,GIB,GI,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Greece,GRC,GR,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Greenland,GRL,GL,Europe & Central Asia,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Grenada,GRD,GD,Latin America & Caribbean,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Guam,GUM,GU,East Asia & Pacific,High income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Guatemala,GTM,GT,Latin America & Caribbean,Upper middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Guinea,GIN,GN,Sub-Saharan Africa,Lower middle income,,0.00,0.000000,,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
