year,name,code,flag,region,currency,value,rank,color,source
2007,Portugal,PRT,🇵🇹,Europe,EUR,0.729672,34,#16A34A,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Slovenia,SVN,🇸🇮,Europe,EUR,0.729672,35,#65A30D,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Spain,ESP,🇪🇸,Europe,EUR,0.729672,36,#FBBF24,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,Latvia,LVA,🇱🇻,Europe,LVL,0.513792,37,#DC2626,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2007,United Kingdom,GBR,🇬🇧,Europe,GBP,0.499772,38,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Colombia,COL,🇨🇴,Americas,COP,1965.14,1,#FACC15,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,South Korea,KOR,🇰🇷,Asia,KRW,1100.13,2,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Costa Rica,CRI,🇨🇷,Americas,CRC,526.2355,3,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Chile,CHL,🇨🇱,Americas,CLP,522.4610,4,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Hungary,HUN,🇭🇺,Europe,HUF,172.1133,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Japan,JPN,🇯🇵,Asia,JPY,103.3595,6,#FB7185,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Iceland,ISL,🇮🇸,Europe,ISK,87.9479,7,#0EA5E9,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Slovak Republic,SVK,🇸🇰,Europe,SKK,21.3614,8,#2563EB,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Czechia,CZE,🇨🇿,Europe,CZK,17.0717,9,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Mexico,MEX,🇲🇽,Americas,MXN,11.1297,10,#2DD4BF,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Estonia,EST,🇪🇪,Europe,EEK,10.6944,11,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Sweden,SWE,🇸🇪,Europe,SEK,6.591099,12,#FDE047,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Norway,NOR,🇳🇴,Europe,NOK,5.640000,13,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Denmark,DNK,🇩🇰,Europe,DKK,5.098131,14,#14B8A6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Israel,ISR,🇮🇱,Middle East,ILS,3.588021,15,#6366F1,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Poland,POL,🇵🇱,Europe,PLN,2.409242,16,#E11D48,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Lithuania,LTU,🇱🇹,Europe,LTL,2.357075,17,#F59E0B,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,New Zealand,NZL,🇳🇿,Oceania,NZD,1.422727,18,#7DD3FC,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Turkiye,TUR,🇹🇷,Europe/Asia,TRY,1.301522,19,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Australia,AUS,🇦🇺,Oceania,AUD,1.192178,20,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Switzerland,CHE,🇨🇭,Europe,CHF,1.083090,21,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Canada,CAN,🇨🇦,Americas,CAD,1.067087,22,#60A5FA,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,United States,USA,🇺🇸,Americas,USD,1.000000,23,#22D3EE,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Austria,AUT,🇦🇹,Europe,EUR,0.679923,24,#F43F5E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Belgium,BEL,🇧🇪,Europe,EUR,0.679923,25,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
